@relation 'parsejson'
@attribute probe_id numeric
% ping.py
@attribute ping_min numeric %% minimum ping RTT
@attribute ping_from string %% ping source IP
@attribute ping_asn numeric %% source ASN
@attribute ping_net string  %% source network name
% traceroute.py
@attribute tr_hopcount numeric %% number of public-ip hops to target
@attribute tr_aslen numeric    %% number of distinct ASes on the path
@attribute tr_exit_rtt numeric %% exit AS: max. RTT
@attribute tr_exit_asn numeric %% exit AS: last known ASN before target
@attribute tr_exit_net string  %% exit AS: network name
% ipv6.py
@attribute ipv6_rt numeric    %% response time
@attribute ipv6_size numeric  %% response size
@attribute ipv6_flags numeric %% header bit flags (decimal)
@attribute ipv6_rcode numeric %% response code
@attribute ipv6_rdata string  %% rdata of first reply
% qname.py
@attribute qname_rt numeric   %% reply time
@attribute qname_size numeric %% size of the reply
@attribute qname_ok numeric   %% 1 if letter case ok
@attribute qname_rdata string %% rdata of first reply
% tcp.py
@attribute tcp_rt numeric      %% reply time
@attribute tcp_size numeric    %% size of the reply
@attribute tcp_flags numeric   %% header bit flags (decimal)
@attribute tcp_rcode numeric   %% response code
% hostname.py
@attribute hostname_rt numeric    %% response time
@attribute hostname_size numeric  %% response size
@attribute hostname_flags numeric %% header bit flags (decimal)
@attribute hostname_rcode numeric %% response code
@attribute hostname_resp string   %% rdata of first answer
% version.py
@attribute version_rt numeric    %% response time
@attribute version_size numeric  %% response size
@attribute version_flags numeric %% header bit flags (decimal)
@attribute version_rcode numeric %% response code
@attribute version_resp string   %% rdata of first answer
% serverid.py
@attribute serverid_rt numeric    %% response time
@attribute serverid_size numeric  %% response size
@attribute serverid_flags numeric %% header bit flags (decimal)
@attribute serverid_rcode numeric %% response code
@attribute serverid_resp string   %% rdata of first answer
% dsfail.py
@attribute dsfail_rt numeric    %% response time
@attribute dsfail_size numeric  %% response size
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_rdata string  %% rdata of first reply
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
@attribute dnskey_qcount numeric %% query count
@attribute dnskey_acount numeric %% answer count
@attribute dnskey_nscount numeric %% authority count
@attribute dnskey_arcount numeric %% additional count
% nxdomain.py
@attribute nxd_rt numeric    %% response time
@attribute nxd_size numeric  %% response size
@attribute nxd_flags numeric %% header bit flags (decimal)
@attribute nxd_rcode numeric %% response code
@attribute nxd_rdata string  %% rdata of first answer
@attribute nxd_asn numeric   %% answer ASN
@attribute nxd_name string   %% answer network name
% whoami.py
@attribute whoami_rt numeric  %% response time
@attribute whoami_ip string   %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
@attribute whoami_net string  %% resolver network name
% whoami2.py
@attribute whoami2_rt numeric  %% response time
@attribute whoami2_ip string   %% resolver ip address
@attribute whoami2_asn numeric %% resolver asn
@attribute whoami2_net string  %% resolver network name
% ground truth
@attribute hijacked {0,1}
@data
13493,24.5,83.218.148.13,16082,SPITFIRE_NETWORK_SERVICES_LIMITED,7,3,25.8,3356,LEVEL_3_COMMUNICATIONS_INC,43.9,74,33152,0,2607:f740:d::f77,31.9,46,1,157.240.1.35,52.9,46,33152,0,25.9,31,33157,5,?,29.9,30,33157,5,?,29.2,27,33157,5,?,25.7,35,32898,2,?,31.8,316,33664,0,1,2,0,0,42.0,137,33155,3,?,-1,?,26.2,208.69.34.13,36692,OPENDNS_LLC,58.9,208.69.34.11,36692,OPENDNS_LLC,0
15024,21.7,91.32.226.146,3320,DEUTSCHE_TELEKOM_AG,6,3,14.8,3356,LEVEL_3_COMMUNICATIONS_INC,17.2,74,33152,0,2607:f740:d::f77,18.1,46,1,31.13.91.36,33.2,46,33152,0,17.5,31,33157,5,?,17.6,30,33157,5,?,17.6,27,33157,5,?,17.8,35,32898,2,?,17.8,316,33664,0,1,2,0,0,54.9,137,33155,3,?,-1,?,17.4,208.69.35.11,36692,OPENDNS_LLC,42.3,208.69.34.16,36692,OPENDNS_LLC,0
15048,0.5,194.228.0.70,5610,O2_CZECH_REPUBLIC_AS,4,3,1.6,5610,O2_CZECH_REPUBLIC_AS,2.2,74,33152,0,2607:f740:d::f77,1.3,46,1,157.240.20.35,-1,-1,-1,-1,1.3,31,33157,5,?,1.3,30,33157,5,?,1.5,27,33157,5,?,2.1,35,32898,2,?,2.2,444,33664,0,1,2,0,0,34.0,137,33155,3,?,-1,?,2.1,146.112.129.12,36692,OPENDNS_LLC,37.1,146.112.129.12,36692,OPENDNS_LLC,0
18332,81.8,116.6.18.38,4809,CHINA_TELECOM_NEXT_GENERATION_CARRIER_NETWORK,15,6,43.1,3491,BEYOND_THE_NETWORK_AMERICA_INC,46.6,74,33152,0,2607:f740:d::f77,9.5,46,1,8.7.198.45,-1,-1,-1,-1,45.4,31,33157,5,?,44.8,30,33157,5,?,44.9,27,33157,5,?,45.2,35,32898,2,?,46.7,316,33664,0,1,2,0,0,382.9,137,33155,3,?,-1,?,45.4,67.215.80.15,36692,OPENDNS_LLC,311.5,67.215.80.11,36692,OPENDNS_LLC,0
18822,93.0,185.60.238.253,201860,MYTELCO_LTD,8,5,106.2,3356,LEVEL_3_COMMUNICATIONS_INC,112.6,74,33152,0,2607:f740:d::f77,105.8,46,1,31.13.91.36,244.8,46,33152,0,109.7,31,33157,5,?,114.6,30,33157,5,?,150.3,27,33157,5,?,131.3,35,32898,2,?,117.3,444,33664,0,1,2,0,0,124.4,137,33155,3,?,-1,?,105.5,208.69.35.11,36692,OPENDNS_LLC,112.8,208.69.34.13,36692,OPENDNS_LLC,0
19632,44.4,217.91.99.92,3320,DEUTSCHE_TELEKOM_AG,7,3,43.0,3356,LEVEL_3_COMMUNICATIONS_INC,44.7,74,33152,0,2607:f740:d::f77,44.6,46,1,31.13.91.36,90.0,46,33152,0,46.5,31,33157,5,?,46.1,30,33157,5,?,45.5,27,33157,5,?,46.0,51,32896,0,69.252.80.75,44.4,316,33664,0,1,2,0,0,58.8,137,33155,3,?,-1,?,46.3,208.69.35.11,36692,OPENDNS_LLC,60.2,208.69.33.17,36692,OPENDNS_LLC,0
19832,22.0,141.59.41.189,553,UNIVERSITAET_STUTTGART,8,3,58.8,3356,LEVEL_3_COMMUNICATIONS_INC,24.2,74,33152,0,2607:f740:d::f77,22.8,46,1,31.13.91.36,-1,-1,-1,-1,22.7,31,33157,5,?,22.7,30,33157,5,?,23.1,27,33157,5,?,22.9,51,32896,0,69.252.80.75,23.0,316,33664,0,1,2,0,0,43.8,137,33155,3,?,-1,?,22.9,208.69.35.17,36692,OPENDNS_LLC,261.6,208.69.34.11,36692,OPENDNS_LLC,0
20198,58.0,78.235.236.234,12322,FREE_SAS,10,4,57.3,3356,LEVEL_3_COMMUNICATIONS_INC,61.0,74,33152,0,2607:f740:d::f77,57.5,46,1,31.13.64.35,115.0,46,33152,0,58.2,31,33157,5,?,58.3,30,33157,5,?,79.9,27,33157,5,?,77.4,35,32898,2,?,110.6,444,33664,0,1,2,0,0,85.8,137,33155,3,?,-1,?,58.2,208.69.34.19,36692,OPENDNS_LLC,66.8,208.69.34.19,36692,OPENDNS_LLC,0
20913,3.3,173.56.224.223,701,MCI_COMMUNICATIONS_SERVICES_INC_DBA_VERIZON_BUSINESS,6,4,2.3,3356,LEVEL_3_COMMUNICATIONS_INC,4.1,74,33152,0,2607:f740:d::f77,4.1,46,1,157.240.0.35,6.7,46,33152,0,3.9,31,33157,5,?,6.3,30,33157,5,?,3.6,27,33157,5,?,5.8,35,32898,2,?,3.6,316,33664,0,1,2,0,0,10.8,137,33155,3,?,-1,?,5.2,208.67.217.15,36692,OPENDNS_LLC,153.6,208.67.217.15,36692,OPENDNS_LLC,0
21099,52.4,103.236.176.15,132454,KEYSQUARE_INC,8,4,50.3,4637,TELSTRA_GLOBAL,50.9,74,33152,0,2607:f740:d::f77,51.7,46,1,31.13.95.36,113.5,46,33152,0,60.3,31,33157,5,?,50.8,30,33157,5,?,52.1,27,33157,5,?,51.7,35,32898,2,?,52.0,444,33664,0,1,2,0,0,412.9,137,33155,3,?,-1,?,52.7,67.215.82.21,36692,OPENDNS_LLC,170.3,67.215.80.69,36692,OPENDNS_LLC,0
22305,23.1,84.255.247.148,34779,T2_DOO,6,3,19.5,3356,LEVEL_3_COMMUNICATIONS_INC,20.4,74,33152,0,2607:f740:d::f77,20.4,46,1,31.13.91.36,41.3,46,33152,0,21.0,31,33157,5,?,21.0,30,33157,5,?,20.6,27,33157,5,?,20.5,51,32896,0,69.252.80.75,21.5,316,33664,0,1,2,0,0,36.1,137,33155,3,?,-1,?,20.5,208.69.35.11,36692,OPENDNS_LLC,41.8,208.69.34.13,36692,OPENDNS_LLC,0
24355,30.9,93.103.191.68,34779,T2_DOO,7,3,27.5,3356,LEVEL_3_COMMUNICATIONS_INC,29.0,74,33152,0,2607:f740:d::f77,28.8,46,1,31.13.91.36,56.1,46,33152,0,29.0,31,33157,5,?,28.0,30,33157,5,?,28.7,27,33157,5,?,28.8,51,32896,0,69.252.80.75,29.5,316,33664,0,1,2,0,0,40.4,137,33155,3,?,-1,?,29.1,208.69.35.21,36692,OPENDNS_LLC,38.1,208.69.34.12,36692,OPENDNS_LLC,0
25793,6.8,85.195.243.108,13030,INIT7_SWITZERLAND_LTD,6,3,8.0,13030,INIT7_SWITZERLAND_LTD,9.0,74,33152,0,2607:f740:d::f77,8.0,46,1,185.60.216.35,17.0,46,33152,0,8.4,31,33157,5,?,7.8,30,33157,5,?,8.2,27,33157,5,?,8.7,51,32896,0,69.252.80.75,9.2,444,33664,0,1,2,0,0,36.7,137,33155,3,?,-1,?,8.1,208.69.33.15,36692,OPENDNS_LLC,19.6,208.69.33.13,36692,OPENDNS_LLC,0
28391,33.4,85.199.85.81,12693,EDISCOM_TELEKOMMUNIKATION_GMBH,5,2,33.2,12693,EDISCOM_TELEKOMMUNIKATION_GMBH,37.3,74,33152,0,2607:f740:d::f77,39.4,46,1,31.13.81.36,70.7,46,33152,0,35.1,31,33157,5,?,35.1,30,33157,5,?,35.9,27,33157,5,?,36.1,35,32898,2,?,35.8,316,33664,0,1,2,0,0,62.2,137,33155,3,?,-1,?,35.7,185.60.84.14,36692,OPENDNS_LLC,82.3,185.60.84.12,36692,OPENDNS_LLC,0
29041,26.6,210.186.17.144,4788,TM_NET_INTERNET_SERVICE_PROVIDER,3,3,17.6,4788,TM_NET_INTERNET_SERVICE_PROVIDER,29.4,74,33152,0,2607:f740:d::f77,29.6,46,1,157.240.7.35,54.5,46,33152,0,27.8,31,33157,5,?,29.5,30,33157,5,?,27.6,27,33157,5,?,28.4,35,32898,2,?,30.0,316,33664,0,1,2,0,0,414.9,137,33155,3,?,-1,?,30.0,67.215.80.70,36692,OPENDNS_LLC,333.0,67.215.80.69,36692,OPENDNS_LLC,0
2529,26.7,73.149.148.225,7922,COMCAST_CABLE_COMMUNICATIONS_LLC,7,3,29.9,3356,LEVEL_3_COMMUNICATIONS_INC,206.2,74,33152,0,2607:f740:d::f77,77.1,46,1,31.13.71.36,149.4,46,33152,0,105.3,31,33157,5,?,57.1,65,34176,0,"dnsmasq-2.57-OpenDNS-1",95.2,75,33152,0,"chlm-cns04",63.7,151,32896,0,?,87.1,455,33664,0,1,2,0,1,84.3,133,33155,3,?,-1,?,73.0,69.252.230.199,7922,COMCAST_CABLE_COMMUNICATIONS_LLC,460.8,69.252.230.199,7922,COMCAST_CABLE_COMMUNICATIONS_LLC,1
3896,61.0,46.160.248.29,35539,INFORMATION_AND_COMMUNICATION_TECHNOLOGIES_LLC,9,4,42.9,3257,GTT_COMMUNICATIONS_INC,1405.3,46,33152,0,?,53.9,46,1,31.13.72.36,179.4,46,33152,0,54.1,59,34176,0,"ns1.infolink.ru",54.0,81,34176,0,"9.8.2rc1-RedHat-9.8.2-0.62.rc1.el6_9.2",66.2,85,34176,0,?,56.3,437,32896,0,?,61.9,31,33664,0,1,0,0,1,92.4,60,33155,3,?,-1,?,137.5,93.123.128.148,35539,INFORMATION_AND_COMMUNICATION_TECHNOLOGIES_LLC,188.2,93.123.128.148,35539,INFORMATION_AND_COMMUNICATION_TECHNOLOGIES_LLC,1
4233,56.5,89.222.183.85,34123,NETORN_LLC,10,4,52.5,3356,LEVEL_3_COMMUNICATIONS_INC,533.3,46,33154,2,?,87.5,169,1,31.13.65.36,131.9,169,33152,0,147.4,65,34176,0,"hosting",56.0,55,34176,0,"dnsmasq-2.73",164.1,68,33152,0,"ext-resolve05g.ht.yandex.net",89.9,437,32896,0,?,96.7,1055,33152,0,1,5,0,1,111.1,133,34179,3,?,-1,?,200.3,89.222.180.60,34123,NETORN_LLC,313.7,37.9.72.209,13238,YANDEX_LLC,1
10132,34.3,213.135.167.10,44566,KDSKABEL_NET_DOOEL,11,5,35.3,3257,GTT_COMMUNICATIONS_INC,325.8,46,33154,2,?,2.1,181,0,157.240.9.35,83.4,46,33152,0,2.1,68,34048,0,"cn-prilep7",2.1,66,34048,0,"9.11.0-P2",2.3,85,34048,0,?,2.8,437,32896,0,?,2.2,31,33696,0,1,0,0,1,48.9,134,33155,3,?,-1,?,54.5,213.135.160.7,44566,KDSKABEL_NET_DOOEL,254.3,213.135.160.7,44566,KDSKABEL_NET_DOOEL,1
10184,50.0,95.183.95.159,21453,FLEX_LTD,6,4,42.0,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,996.6,46,33157,5,?,7.0,46,1,31.13.92.36,86.1,46,33152,0,11.4,31,33157,5,?,6.5,153,33152,0,"PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610184141 root@misc-srv15g.narod.yandex.net)",2.3,68,32896,0,"ext-resolve06f.ht.yandex.net",13.1,35,32901,5,?,150.7,31,33157,5,1,0,0,1,55.4,61,33155,3,?,-1,?,103.3,93.158.156.137,13238,YANDEX_LLC,253.4,93.158.156.136,13238,YANDEX_LLC,1
10246,14.4,194.50.85.102,39608,LANET_NETWORK_LTD,5,4,8.2,15772,LLC_WNET_UKRAINE,2.0,114,34176,0,?,1.7,86,1,194.50.85.176,31.1,46,33152,0,2.3,75,34048,0,"cadmium.la.net.ua",1.8,62,34048,0,"9.9.5",2.4,85,34048,0,?,1.8,91,33920,0,194.50.85.176,2.4,99,34176,0,1,0,1,1,2.5,117,34176,0,194.50.85.176,39608,LANET_NETWORK_LTD,-1,?,-1,?,-1,?,-1,?,1
10460,651.4,176.227.133.116,29286,SKYLOGIC_SPA,7,3,669.2,3257,GTT_COMMUNICATIONS_INC,2.7,46,33152,0,?,3.3,46,1,157.240.20.35,1589.1,46,33152,0,-1,-1,-1,-1,?,-1,-1,-1,-1,?,-1,-1,-1,-1,?,996.2,51,33152,0,69.252.80.75,4.0,444,33152,0,1,2,0,0,762.2,61,34179,3,?,-1,?,984.4,88.202.124.210,29286,SKYLOGIC_SPA,837.5,88.202.124.210,29286,SKYLOGIC_SPA,1
10656,27.2,78.16.215.160,2110,BT_COMMUNICATIONS_IRELAND_LIMITED,9,3,27.1,3257,GTT_COMMUNICATIONS_INC,31.3,74,33152,0,2607:f740:d::f77,28.6,46,1,31.13.90.36,-1,-1,-1,-1,3.6,44,34176,0,"",3.7,65,34176,0,"dnsmasq-2.15-OpenDNS-1",3.8,40,34176,0,"",3.9,35,32901,5,?,38.1,316,33664,0,1,2,0,0,73.7,137,33155,3,?,-1,?,29.2,208.69.34.15,36692,OPENDNS_LLC,56.5,208.69.34.12,36692,OPENDNS_LLC,1
11036,9.5,109.149.169.237,2856,BRITISH_TELECOMMUNICATIONS_PLC,12,3,10.1,2914,NTT_AMERICA_INC,8.3,46,33024,0,?,8.3,62,1,213.120.234.114,23.0,46,33152,0,10.6,31,33157,5,?,9.6,30,33157,5,?,11.0,27,33157,5,?,8.6,67,32768,0,213.120.234.114,10.6,316,33664,0,1,2,0,0,10.9,93,33024,0,213.120.234.114,2856,BRITISH_TELECOMMUNICATIONS_PLC,8.8,213.120.234.150,2856,BRITISH_TELECOMMUNICATIONS_PLC,27.0,208.69.34.15,36692,OPENDNS_LLC,1
11410,10.2,217.197.151.43,34093,NWT_AS,6,4,7.9,25512,CDTELEMATIKA_AS,50.3,74,33152,0,2607:f740:d::f77,10.6,46,0,157.240.20.35,18.6,46,33152,0,3.9,12,33156,4,?,5.0,12,33156,4,?,4.1,12,33156,4,?,-1,-1,-1,-1,?,10.9,20,33152,0,1,0,0,0,44.9,61,33155,3,?,-1,?,11.7,74.125.47.14,15169,GOOGLE_INC,124.4,74.125.47.130,15169,GOOGLE_INC,1
13660,2.2,5.83.136.21,200032,AHMADIYYA_MUSLIM_JAMAAT_DER_BUNDESREPUBLIK_DEUTSCHLAND,7,4,1.9,3257,GTT_COMMUNICATIONS_INC,5.6,74,33152,0,2607:f740:d::f77,5.4,273,0,185.60.216.35,6.9,46,33152,0,2.1,12,33156,4,?,2.4,12,33156,4,?,2.8,12,33156,4,?,119.6,51,33152,0,69.252.80.75,9.1,592,33152,0,1,3,0,0,22.1,61,33155,3,?,-1,?,5.4,208.69.33.21,36692,OPENDNS_LLC,35.8,208.69.33.11,36692,OPENDNS_LLC,1
14370,32.4,81.159.251.202,2856,BRITISH_TELECOMMUNICATIONS_PLC,15,3,30.9,2914,NTT_AMERICA_INC,24.5,46,33024,0,?,25.2,62,1,213.120.234.114,63.4,46,33152,0,31.8,31,33157,5,?,30.3,30,33157,5,?,32.6,27,33157,5,?,25.8,67,32768,0,213.120.234.114,33.9,316,33664,0,1,2,0,0,25.9,93,33024,0,213.120.234.114,2856,BRITISH_TELECOMMUNICATIONS_PLC,25.3,213.120.234.150,2856,BRITISH_TELECOMMUNICATIONS_PLC,71.3,208.69.34.13,36692,OPENDNS_LLC,1
17242,51.7,81.56.142.103,12322,FREE_SAS,6,4,43.3,3356,LEVEL_3_COMMUNICATIONS_INC,294.9,46,33154,2,?,78.1,46,1,31.13.91.36,71.4,46,33152,0,5.2,31,33157,5,?,2.7,30,33157,5,?,3.0,38,33157,5,?,3.1,12,32773,5,?,5.1,31,33696,0,1,0,0,1,72.7,134,33155,3,?,-1,?,655.5,212.47.228.136,12876,ONLINE_SAS,572.9,212.47.228.136,12876,ONLINE_SAS,1
20020,41.4,88.181.205.142,12322,FREE_SAS,7,4,41.1,3356,LEVEL_3_COMMUNICATIONS_INC,43.3,74,33152,0,2607:f740:d::f77,42.7,46,1,31.13.90.36,87.9,46,33152,0,44.8,31,33157,5,?,2.2,58,34176,0,"dnsmasq-2.73rc3",45.5,27,33157,5,?,44.1,35,32898,2,?,44.8,316,33664,0,1,2,0,0,71.9,137,33155,3,?,-1,?,43.9,208.69.34.12,36692,OPENDNS_LLC,56.9,208.69.34.17,36692,OPENDNS_LLC,1
20389,45.6,93.67.76.129,30722,VODAFONE_ITALIA_SPA,10,5,40.4,3356,LEVEL_3_COMMUNICATIONS_INC,57.1,46,33154,2,?,28.1,46,1,31.13.86.36,82.0,46,33152,0,20.8,78,33024,0,?,-1,-1,-1,-1,?,21.0,85,33024,0,?,12.1,198,32896,0,?,27.0,31,33664,0,1,0,0,1,50.9,134,33155,3,?,-1,?,28.5,91.80.37.104,30722,VODAFONE_ITALIA_SPA,80.3,91.80.37.104,30722,VODAFONE_ITALIA_SPA,1
